NP06H001,555231.3133,1825722.572,H,0
NP06H002,555238.3223,1825693.268,H,0
NP06H003,555233.0037,1825685.959,H,0
NP06H004,555251.0786,1825711.554,H,0
NP06H005,555242.5936,1825733.77,H,0
NP06H006,555248.0359,1825732.68,H,0
NP06H007,555272.1385,1825740.598,H,0
NP06H008,555279.7989,1825790.068,H,0
NP06H009,555326.0415,1825819.722,H,0
NP06H010,555314.3572,1825756.635,H,0
NP06H011,555326.4126,1825757.995,H,0
NP06H012,555306.9772,1825722.542,H,0
NP06H013,555324.4666,1825726.901,H,0
NP06H014,555335.8459,1825743.418,H,0
NP06H015,555375.3105,1825751.706,H,0
NP06H016,555322.133,1825678.221,H,0
NP06H017,555299.5477,1825704.156,H,0
NP06H018,555288.6384,1825713.974,H,0
NP06H019,555355.3555,1825708.725,H,0
NP06H020,555362.2738,1825674.342,H,0
NP06H021,555349.468,1825672.652,H,0
NP06H022,555322.2732,1825667.383,H,0
NP06H023,555311.3969,1825664.034,H,0
NP06H024,555299.795,1825693.098,H,0
NP06H025,555301.4359,1825677.281,H,0
NP06H026,555268.7742,1825680.07,H,0
NP06H027,555283.4518,1825657.105,H,0
NP06H028,555277.0695,1825648.237,H,0
NP06H029,555268.535,1825646.227,H,0
NP06H030,555351.1419,1825644.888,H,0
NP06H031,555335.3346,1825610.775,H,0
NP06H032,555326.6023,1825601.017,H,0
NP06H033,555331.5992,1825567.733,H,0
NP06H034,555343.2754,1825552.386,H,0
NP06H035,555365.5804,1825551.557,H,0
NP06H036,555381.5691,1825558.235,H,0
NP06H037,555394.5975,1825555.506,H,0
NP06H038,555380.3817,1825564.984,H,0
NP06H039,555380.258,1825569.293,H,0
NP06H040,555378.2872,1825588.759,H,0
NP06H041,555351.5459,1825572.542,H,0
NP06H042,555343.6794,1825559.025,H,0
NP06H043,555348.1899,1825590.569,H,0
NP06H044,555364.0631,1825601.446,H,0
NP06H045,555413.53,1825621.042,H,0
NP06H046,555439.9744,1825630.96,H,0
NP06H047,555421.0831,1825631.57,H,0
NP06H048,555401.6477,1825634.07,H,0
NP06H049,555380.1673,1825645.847,H,0
NP06H050,555379.3922,1825658.895,H,0
NP06H051,555387.7864,1825670.652,H,0
NP06H052,555391.9011,1825771.212,H,0
NP06H053,555205.4213,1825665.194,H,0
NP06H054,555198.9484,1825650.137,H,0
NP06H055,555222.1274,1825642.678,H,0
NP06H056,555242.9482,1825637.199,H,0
NP06H057,555233.2676,1825625.782,H,0
NP06H058,555242.6926,1825612.414,H,0
NP06H059,555257.3537,1825597.187,H,0
NP06H060,555261.5838,1825571.313,H,0
NP06H061,555258.1947,1825560.135,H,0
NP06H062,555282.6437,1825516.604,H,0
NP06H063,555295.0784,1825493.628,H,0
NP06H064,555310.2837,1825475.972,H,0
NP06H065,555316.6083,1825464.594,H,0
NP06H066,555372.6141,1825512.855,H,0
NP06H067,555353.1127,1825502.517,H,0
NP06H068,555372.845,1825507.106,H,0
NP06H069,555398.0113,1825473.982,H,0
NP06H070,555421.8088,1825475.592,H,0
NP06H071,555414.5607,1825512.635,H,0
NP06H072,555435.9174,1825507.156,H,0
NP06H073,555444.0726,1825490.259,H,0
NP06H074,555473.6257,1825492.429,H,0
NP06H075,555393.1792,1825321.423,H,0
NP06H076,555395.3314,1825313.015,H,0
NP06H077,555411.0397,1825305.867,H,0
NP06H078,555409.7946,1825291.26,H,0
NP06H079,555414.5112,1825283.531,H,0
NP06H080,555458.9398,1825311.635,H,0
NP06H081,555516.0835,1825252.817,H,0
NP06H082,555535.3623,1825268.574,H,0
NP06H083,555568.6343,1825278.182,H,0
NP06H084,555581.2999,1825290.6,H,0
NP06H085,555571.3554,1825341.019,H,0
NP06H086,555583.4356,1825331.541,H,0
NP06H087,555584.9858,1825310.526,H,0
NP06H088,555611.1664,1825296.649,H,0
NP06H089,555624.706,1825303.657,H,0
NP06H090,555648.2644,1825312.785,H,0
NP06H091,555641.1647,1825335.451,H,0
NP06H092,555647.5635,1825335.021,H,0
NP06H093,555688.9989,1825325.623,H,0
NP06H094,555708.3024,1825332.641,H,0
NP06H095,555767.9611,1825372.283,H,0
NP06H096,555820.4789,1825573.652,H,0
NP06H097,555800.7466,1825528.461,H,0
NP06H098,555772.7931,1825402.057,H,0
NP06H099,555783.9828,1825365.914,H,0
NP06H100,555868.6676,1825387.7,H,0
NP06H101,555855.3505,1825418.094,H,0
NP06H102,555875.8827,1825404.097,H,0
NP06H103,555888.6967,1825399.818,H,0
NP06H104,555890.3294,1825511.775,H,0
NP06H105,555881.4569,1825557.545,H,0
NP06H106,555909.3361,1825589.259,H,0
NP06H107,555690.31,1825643.888,H,0
NP06H108,555961.186,1825554.436,H,0
NP06H109,555982.1964,1825558.915,H,0
NP06H110,556020.4653,1825535.12,H,0
NP06H111,555954.5975,1825461.275,H,0
NP06H113,556584.5883,1825861.514,H,0
NP06H114,556587.3671,1825616.483,H,0
NP06H115,556561.6318,1825621.612,H,0
NP06H116,556548.4138,1825617.823,H,0
NP06H117,556544.3321,1825544.578,H,0
NP06H119,555683.87,1825288.77,H,0
NP06H120,555641.7255,1825282.131,H,0
NP06H121,555622.2075,1825279.532,H,0
NP06H122,555678.1803,1825217.395,H,0
NP06H123,555703.4786,1825215.145,H,0
NP06H124,555751.255,1825189.27,H,0
NP06H125,555687.9846,1824937.542,H,0
NP06H126,555698.5228,1824946.09,H,0
NP06H127,555740.7333,1824966.776,H,0
NP06H128,555754.174,1824969.795,H,0
NP06H129,555778.4003,1824970.195,H,0
NP06H130,555734.7963,1824952.819,H,0
NP06H131,555723.1779,1824947.93,H,0
NP06H132,555695.5791,1824930.263,H,0
NP06H133,555683.4329,1824922.375,H,0
NP06H134,555676.3003,1824875.894,H,0
NP06H135,555729.2716,1824900.929,H,0
NP06H136,555750.2655,1824913.926,H,0
NP06H137,556114.5587,1825060.457,H,0
NP06H138,555702.4561,1824749.74,H,0
NP06H139,555697.4674,1824737.672,H,0
NP06H140,555714.9898,1824731.744,H,0
NP06H141,555725.8496,1824740.512,H,0
NP06H142,555701.5738,1824719.766,H,0
NP06H143,555733.3698,1824720.726,H,0
NP06H144,555735.8683,1824704.699,H,0
NP06H145,555703.4291,1824702.729,H,0
NP06H146,555814.4841,1824678.014,H,0
NP06H147,555749.6388,1824662.358,H,0
NP06H148,555712.1944,1824655.519,H,0
NP06H150,555723.0377,1824508.299,H,0
NP06H151,555730.0714,1824513.518,H,0
NP06H152,555693.3032,1824493.842,H,0
NP06H153,555708.2034,1824468.327,H,0
NP06H154,555814.3604,1824481.434,H,0
NP06H155,555881.7455,1824466.458,H,0
NP06H157,555765.8831,1824368.587,H,0
NP06H158,555775.9431,1824357.22,H,0
